username,follower_count,following_count,profile_pic,account_activity,region,total_posts,total_likes,total_comments,activity_pm
dstrood1a,8517,1907,false,14,USA,95,391,404,87356
bstewart1b,5560,5709,false,10,USA,26,988,172,14454
egooday1c,2585,1711,true,12,USA,4,8,414,55593
jpeerless1d,3468,6925,true,15,India,65,293,39,74556
rmillington1e,6467,4285,false,2,Canada,77,502,137,73249
tgambell1f,8734,657,true,3,USA,69,354,94,50797
lfrostdick1g,9302,4041,true,13,India,38,752,84,3481
dagronski1h,2589,5201,true,4,USA,64,604,474,17477
smcnaughton1i,9233,2372,false,19,Canada,46,588,446,46751
mpickthorne1j,6911,6033,true,5,India,39,880,333,3508
lflanne1k,9877,5591,true,7,India,1,202,231,25704
jfishburn1l,3690,2384,true,18,India,24,116,436,64519
cmacneill1m,1954,2515,false,3,USA,9,734,445,44646
rplain1n,782,1312,true,3,India,62,623,211,38551
dcavil1o,4084,9561,false,18,Canada,60,598,304,10649
mdudek1p,4404,5013,false,9,Canada,46,660,47,62695
jocalleran1q,8728,8471,false,20,India,13,942,376,51000
pkelly1r,7268,4768,false,18,USA,17,693,192,26519
swerlock1s,9217,1433,false,16,India,51,913,334,5844
csapshed1t,3018,3186,true,6,Canada,69,289,180,3062
fmaclucais1u,6875,3457,false,16,Canada,7,539,144,64009
vjoron1v,3121,1917,false,12,Canada,37,770,11,54219
byonge1w,3310,1508,false,9,India,37,738,258,58207
rvanetti1x,4302,399,true,6,USA,68,269,219,2018
ocrowther1y,9425,4781,false,8,USA,46,789,52,39909
rdiboll1z,9955,852,false,1,Canada,50,411,387,67479
mchark20,9038,5849,false,9,Canada,31,523,356,26765
gfilon21,6812,2018,true,19,India,68,972,80,46112
alorek22,4036,1996,true,12,USA,80,360,412,31617
mhaitlie23,8447,3248,true,7,USA,71,913,75,43778
kborkett24,6361,6061,true,16,India,13,460,383,11428
tswannick25,4025,9579,false,3,India,88,341,165,37266
fimmins26,4756,614,true,8,Canada,22,51,411,95154
ncharlotte27,1540,4179,true,13,USA,81,486,28,59342
nmazzey28,5222,1172,true,12,USA,74,814,421,11898
npindred29,701,6023,false,4,USA,81,106,181,51833
pwardhaugh2a,416,1900,false,20,USA,38,881,163,27207
gdurrand2b,6195,5267,false,14,USA,10,525,96,72092
kstollman2c,4119,3483,false,6,Canada,78,746,26,69340
iguidoni2d,9409,3870,true,13,India,89,502,197,41035
hcairney2e,7269,9029,false,17,India,33,571,122,23880
mstambridge2f,3799,4728,true,4,USA,94,796,152,83015
nlangmuir2g,7491,4044,true,12,USA,78,61,224,24942
rcoveley2h,3106,635,true,11,India,21,82,432,52411
sfarge2i,4949,2665,false,12,India,40,890,236,24479
mkirkebye2j,8971,4514,false,20,USA,54,889,285,98280
fmacvain2k,1606,5457,false,11,India,89,373,140,79276
knind2l,2691,2822,false,14,Canada,31,962,29,75466
jgotcliff2m,847,5202,true,15,USA,46,150,19,63904
rshivlin2n,8073,9595,true,17,India,6,332,127,95004
hslinger2o,881,3304,false,5,India,73,345,273,44341
jgilleon2p,7439,5740,false,16,India,95,323,480,58182
rweiser2q,7768,2567,true,2,USA,13,484,480,49882
edursley2r,3188,5464,true,6,Canada,8,962,162,82203
epetrishchev2s,2581,6411,false,1,USA,90,878,421,4775
smilhench2t,3406,868,true,15,USA,50,911,400,70430
mirdale2u,513,7519,true,11,Canada,24,18,217,83895
astoggell2v,9010,6311,false,16,Canada,95,149,169,56346
mmingard2w,5625,2427,true,10,India,97,826,104,23522
hcrowcombe2x,2484,9866,false,12,USA,67,911,459,50955
jkingdom2y,333,9526,false,18,Canada,7,770,136,21010
sringer2z,6877,6865,true,15,India,69,919,133,67279
rtheyer30,8605,7264,true,2,India,64,607,348,22272
asmoth31,3845,4842,false,13,Canada,12,55,368,17003
fcurling32,5292,606,true,11,Canada,41,237,141,99888
bfrise33,3419,8475,true,2,Canada,28,593,270,36164
lgoundsy34,1471,2580,true,4,USA,81,509,336,19700
sleyborne35,484,9252,true,7,Canada,1,327,128,1559
gpottinger36,8800,6767,false,1,Canada,61,113,209,2320
cjose37,6154,9540,false,3,Canada,1,645,99,50875
ckuzemka38,8454,2036,false,1,USA,77,569,403,97064
tkolushev39,5785,5673,true,18,USA,3,33,195,98765
hgiannasi3a,4076,3697,true,17,USA,3,785,353,53200
ballden3b,3963,9110,false,14,USA,8,245,491,12843
charwell3c,9805,7967,false,12,Canada,36,488,2,16499
ckaygill3d,657,6782,true,4,USA,37,961,415,11328
cdibiagio3e,1384,4754,true,2,USA,68,53,53,24522
stardiff3f,2325,4518,false,13,Canada,72,88,171,72192
pcurlis3g,5401,3607,true,4,India,36,914,250,98746
ndresser3h,6503,8142,false,20,Canada,6,733,390,55606
ctorritti3i,8518,7191,true,4,Canada,63,526,385,8349
kpelcheur3j,1644,5803,false,8,India,12,365,240,64313
scornish3k,1867,553,false,6,India,20,962,191,12118
lkedward3l,7470,1687,false,13,India,25,672,485,20559
jende3m,2197,773,false,11,India,96,133,149,82657
nkingswood3n,315,2337,true,11,India,41,467,5,71060
cgiannini3o,1106,8145,true,12,USA,40,141,264,6142
spingstone3p,3212,6306,false,6,Canada,38,584,49,47397
alivings3q,3119,7368,false,15,USA,89,58,219,72831
mpovah3r,7274,4658,false,10,India,18,884,405,79134
mhawtin3s,5483,1222,true,19,USA,65,428,494,39098
mbasten3t,3187,9983,true,3,Canada,66,530,442,71026
mhorsley3u,9938,60,true,7,India,94,293,370,32819
bmurcutt3v,9217,6701,false,12,USA,93,806,265,28978
cind3w,8996,2757,true,4,India,13,835,40,75097
hchifney3x,5428,4277,true,9,Canada,20,681,488,39782
cwornum3y,5534,2057,true,4,USA,69,329,185,14563
rstarmer3z,6990,394,true,14,Canada,53,30,49,67988
sgavey40,656,1577,true,13,India,34,595,27,93431
gtwelftree41,8202,6145,true,13,Canada,50,555,213,73829
sklaas42,7027,1150,true,9,USA,61,720,181,25773
ybatstone43,3833,8790,false,17,Canada,45,210,21,44840
dfrary44,7925,9366,true,4,India,68,357,459,2899
rhellmore45,4815,6891,true,6,USA,10,991,180,86602
dchurchlow46,7571,118,false,4,India,30,602,172,43360
dbinyon47,1649,7594,false,10,Canada,80,371,223,32457
llathleiffure48,7835,8858,true,8,Canada,98,105,286,97972
dredon49,3752,1642,false,6,Canada,1,397,113,28730
ppuffett4a,4753,5191,false,18,USA,80,437,311,23089
hscamwell4b,3363,5643,false,5,USA,90,62,281,28603
aotowey4c,945,9163,true,3,Canada,33,92,287,84867
bogborn4d,8835,5311,true,6,India,69,88,461,49624
lharder4e,617,9810,false,18,India,94,763,385,62127
vblake4f,5275,1347,true,4,USA,19,34,484,1783
gdorey4g,9170,9744,true,10,India,100,44,296,98106
bfassmann4h,4125,6965,false,18,India,74,253,58,63305
fhafford4i,5461,762,false,15,USA,25,314,295,10812
hdantuoni4j,1198,5208,false,16,USA,29,940,461,21533
cpeskin4k,5255,9390,true,15,USA,27,710,324,35655
ddulson4l,6244,610,true,16,USA,34,161,238,33157
pwalaron4m,8409,7578,false,1,India,9,601,150,89893
prubinfeld4n,1021,5834,false,16,Canada,71,112,223,41075
rlynock4o,4897,3545,false,3,India,1,327,166,28602
mhallett4p,8292,612,true,14,India,22,401,321,82687
ebrook4q,7030,6635,false,15,Canada,56,932,116,27926
ckermitt4r,3537,2471,false,8,Canada,97,840,418,31091
twarfield4s,4348,8463,false,12,India,80,367,40,5094
liannelli4t,5252,4017,false,16,USA,100,11,33,38638
zmoakes4u,8539,6610,false,14,USA,6,763,423,37269
cdeniske4v,3456,7599,true,11,USA,22,778,89,55886
dflockhart4w,1252,5343,true,4,Canada,48,120,120,66510
tmustoo4x,509,5081,true,2,USA,65,392,488,37734
lwastling4y,3223,619,false,13,Canada,82,122,123,16592
lmapowder4z,9581,1422,true,13,Canada,55,824,304,50352
cjanauschek50,6141,2498,true,10,India,91,661,256,37129
lroncelli51,6828,9706,false,13,USA,90,371,302,96683
scoard52,7509,6216,false,20,Canada,15,639,373,63760
terlam53,7214,1932,true,9,USA,71,782,20,49614
sfilipyev54,7186,8558,false,6,USA,12,425,21,80761
mcrowley55,7639,1875,false,13,India,93,972,420,7742
cdanzey56,4759,32,false,10,USA,26,30,224,64358
wcharlwood57,6890,6287,false,2,USA,43,594,196,28972
bwakley58,4809,6689,true,3,USA,53,957,185,66981
gborless59,5373,5074,false,12,India,18,701,181,45903
ddibernardo5a,5961,6880,false,10,USA,71,942,297,77480
gmcilwrick5b,4461,6510,false,3,USA,20,717,376,26577
ljanota5c,2496,7635,true,20,India,96,89,59,18197
bgelland5d,7113,5735,false,18,Canada,45,129,25,44851
nkynnd5e,910,2693,true,10,Canada,84,797,9,96054
vpiddle5f,6866,3391,true,14,Canada,32,40,323,12499
bnucciotti5g,3824,4936,true,8,USA,93,84,18,51563
achoat5h,5610,7511,false,6,USA,40,383,460,12007
dpartner5i,3674,4491,false,6,Canada,37,415,452,79363
ichadderton5j,9129,2071,false,8,Canada,54,829,106,35519
mdumbarton5k,8448,1398,true,20,USA,11,387,157,36527
praffin5l,4361,1422,false,7,India,81,638,270,24026
senrietto5m,3220,2850,true,10,India,55,293,340,43363
tondrousek5n,7270,4262,true,6,Canada,79,145,38,52439
psillett5o,1346,5850,true,19,India,57,185,148,1735
rfrancescotti5p,7146,348,true,5,USA,27,555,97,93463
dstorr5q,1306,6410,false,10,Canada,42,411,123,78054
tdullingham5r,371,850,true,15,USA,62,420,167,68622
bdunbar5s,2745,4082,false,13,Canada,79,486,484,60467
rbishopp5t,6198,8079,true,20,India,73,528,431,47201
jaugie5u,5382,4787,false,16,Canada,56,78,131,33465
aoliva5v,3510,6658,true,19,USA,73,580,369,2956
sbowring5w,665,3763,false,10,Canada,76,838,375,75415
adonaghy5x,1507,3915,false,18,Canada,11,583,421,25848
cderrell5y,3046,910,false,3,Canada,40,159,400,12786
ndurker5z,7817,8554,true,3,Canada,87,671,24,6936
eetchells60,7029,530,true,1,India,41,416,81,38417
earies61,7933,103,true,16,India,16,767,46,48643
qmayberry62,741,189,true,14,Canada,20,831,245,63511
hstoffers63,5063,1406,false,16,Canada,41,969,47,65374
mbremond64,9596,5703,false,17,USA,83,457,128,79204
lkemitt65,7437,2806,false,16,India,2,670,312,59931
sheak66,8760,6565,true,2,India,66,282,59,3957
lsoutherell67,3693,3310,true,13,Canada,0,166,280,9852
gfeatherstonhalgh68,2247,985,true,8,Canada,62,679,10,92624
glindenfeld69,1276,5789,true,1,Canada,70,352,106,90716
edalzell6a,2172,6638,true,15,USA,79,147,217,99347
ctitmarsh6b,8025,9626,false,2,USA,23,787,498,62315
elangthorne6c,5948,7121,false,8,USA,20,352,276,3290
sgreenier6d,1895,8716,true,15,Canada,12,795,163,63241
cgrave6e,2132,9906,true,12,India,26,829,210,54300
lacuna6f,5822,4837,true,12,India,69,457,195,80287
ceisenberg6g,1964,9329,false,1,Canada,43,210,460,79288
dwaye6h,621,4926,false,15,USA,45,39,62,98409
tballinger6i,2940,5643,false,17,Canada,73,591,405,5982
lkitteridge6j,6546,8955,true,3,Canada,38,139,454,64875
asatterthwaite6k,9349,8372,false,6,USA,96,319,45,80132
arule6l,305,9539,false,18,India,9,390,37,89733
mhopkins6m,4016,932,true,14,USA,53,586,440,93267
ccottey6n,1797,2087,false,19,Canada,94,869,15,71115
klambourne6o,8295,3911,false,16,India,90,143,6,70755
jmalshinger6p,5848,8907,true,8,USA,16,186,259,7228
hreskelly6q,8029,7209,false,17,India,28,799,112,36850
floudyan6r,8881,9136,true,4,Canada,21,929,350,50402
chaggar6s,5493,7834,false,2,Canada,84,149,20,13611
aspirritt6t,3373,608,false,17,USA,87,192,273,11816
ablew6u,4577,4469,true,6,USA,2,504,363,94831
mroiz6v,4993,5365,true,10,USA,57,744,48,20990
ablasli6w,633,6324,false,17,USA,95,707,16,4027
uwannan6x,170,627,true,10,Canada,21,254,406,15345
ncassidy6y,285,2233,true,6,Canada,85,221,388,38520
fkinghorne6z,271,7367,true,7,USA,40,717,154,59354
fparmer70,9879,392,false,10,Canada,67,56,288,53222
cjahnig71,4358,7795,false,6,USA,95,400,90,53493
klautie72,4087,6991,true,5,India,43,80,67,54935
olaming73,8022,9363,false,19,India,69,905,201,13324
mburfoot74,300,142,false,14,India,53,468,185,99646
bgiacobo75,1361,1483,true,2,Canada,28,85,187,14399
rsagg76,7238,2566,true,4,Canada,65,145,291,88929
slexa77,7276,2749,true,6,USA,91,332,92,69792
bmcdool78,5169,1453,false,2,Canada,57,460,434,10984
alawranson79,8835,2690,true,11,Canada,33,905,216,41487
fnairn7a,9765,2988,false,6,Canada,34,742,114,16462
mcompson7b,1970,4360,false,6,USA,52,2,220,48148
nconti7c,429,7563,true,14,USA,24,348,242,66871
hmccafferty7d,1375,7691,false,19,India,62,264,380,82391
bchaman7e,7035,148,true,1,USA,87,496,99,16490
asharkey7f,801,9559,true,8,Canada,75,48,241,46916
hclausner7g,8852,1323,true,20,USA,62,799,309,84109
efort7h,7997,8141,false,10,Canada,32,892,369,32281
echipman7i,6986,3660,true,15,India,37,920,341,9029
qcuesta7j,6316,4423,true,17,Canada,60,779,292,52910
rshawell7k,4867,1869,true,9,India,12,144,241,94002
rsleeman7l,8821,2824,true,1,India,55,162,359,62365
ehenrych7m,7800,28,true,19,Canada,76,788,138,92237
lminichillo7n,3319,4644,false,10,India,33,478,211,69535
nlumsdon7o,1978,6863,false,5,Canada,58,686,481,49946
iburgis7p,1649,7062,true,12,India,8,491,16,33017
rtivnan7q,7204,9648,false,1,Canada,26,678,72,32203
ktrytsman7r,6809,8145,false,17,India,40,494,241,51194
asiddell7s,1799,3776,true,14,India,84,107,325,58940
zgravy7t,567,6374,true,14,Canada,96,218,194,42228
rgorrick7u,9216,4536,false,1,USA,53,335,455,6878
rferney7v,1449,5989,false,12,Canada,89,519,359,34147
lhembry7w,7917,2996,true,3,Canada,48,441,49,98393
rfarnham7x,9142,7623,false,11,Canada,81,322,151,51737
ateale7y,9130,2425,false,14,India,5,899,263,31617
vpoll7z,3384,5,true,18,USA,52,455,271,67861
kbrocklesby80,7160,419,false,14,India,15,897,81,11676
mtomasino81,9760,7095,true,1,Canada,92,152,330,41944
haffuso82,1019,5206,false,6,India,21,772,79,25759
kfishbourn83,3541,5826,true,4,USA,35,282,111,63250
bbeavors84,8149,5384,true,19,India,93,11,174,23219
htargett85,9618,4624,true,13,USA,25,351,120,19285
gbalaisot86,9495,3262,false,11,Canada,65,876,414,56746
lcoetzee87,3212,4657,true,3,India,46,663,145,31375
aizacenko88,7466,9310,true,18,USA,46,493,270,41806
dgregoire89,3604,6206,true,17,USA,81,920,45,43711
clownds8a,4489,880,false,2,USA,19,481,105,92123
jclapison8b,1991,7340,false,16,India,42,741,469,99226
hsinnocke8c,7970,4068,true,11,Canada,77,141,199,80810
cmercik8d,3530,4858,false,14,USA,64,463,177,73095
khuddlestone8e,2820,4059,false,2,India,41,621,253,10299
ddomenico8f,7770,346,true,13,USA,39,239,258,88223
llaviss8g,8772,2645,true,4,USA,48,150,304,2352
nhamflett8h,5441,6856,true,3,India,10,992,367,64294
gsmalridge8i,7087,8254,true,17,USA,35,363,134,10238
jsterrick8j,8910,7034,true,5,India,38,9,147,12929
rtruelock8k,4854,1877,false,16,USA,82,774,405,51669
rzarfat8l,3636,5138,true,11,India,74,172,138,35859
nfeander8m,7528,7211,true,10,India,51,959,411,87564
cbloan8n,2575,2088,false,4,USA,9,578,300,13247
swillicott8o,6889,1122,false,16,USA,20,383,211,12054
ffranciotti8p,3352,3407,true,4,India,20,19,449,33606
rcurson8q,1058,6911,false,19,Canada,82,197,205,58662
dbrame8r,1599,2462,false,14,India,38,732,352,8076
edimmne8s,1080,3763,true,7,India,77,717,233,47204
ascanlin8t,3475,6025,false,14,Canada,89,306,453,34454
dcook8u,4304,8339,true,9,India,58,373,108,49075
ogozney8v,2482,6990,true,14,Canada,22,769,457,75993
rriddlesden8w,4903,7647,true,17,Canada,78,971,267,31164
ngainsborough8x,1305,3854,false,13,India,89,769,360,9307
ghawtrey8y,17,3725,true,1,USA,35,779,479,85311
nlalevee8z,3596,4465,false,9,USA,98,233,393,6131
mhaycock90,5720,4235,true,12,USA,5,237,286,80727
qhudless91,239,1149,true,6,India,32,277,346,82497
acloney92,5715,8211,false,5,USA,20,430,498,13888
gorton93,5381,3526,true,1,USA,27,193,177,58117
tburkill94,4701,4529,true,15,Canada,16,96,275,39373
bflavelle95,2205,2216,true,2,India,71,804,114,78887
cvyel96,4870,5522,true,13,USA,36,475,200,38101
chellsdon97,6742,905,true,12,Canada,97,868,463,45322
sgontier98,2483,9866,false,16,Canada,17,293,11,85888
zcrutch99,9121,6652,true,3,Canada,24,88,491,79224
hwinny9a,9877,668,true,16,India,33,153,445,6770
dperris9b,506,8165,true,7,Canada,87,351,348,21708
margyle9c,1938,7792,true,17,Canada,72,344,359,82961
hchevers9d,2937,5193,true,16,Canada,72,486,10,70198
csheeres9e,3227,5684,false,11,Canada,41,860,192,29210
atropman9f,1170,6345,true,18,Canada,7,972,317,37275
dgaber9g,2270,6706,false,19,Canada,17,932,228,36180
thamblington9h,84,8851,true,5,USA,86,174,23,52649
nrookeby9i,7594,7049,false,12,India,97,790,476,90877
wserver9j,917,9424,true,3,Canada,82,596,241,36292
cpipet9k,2471,6642,false,15,USA,34,88,334,24999
frehn9l,7297,5124,false,8,India,47,417,112,38877
mleigh9m,2807,5414,true,7,Canada,1,299,53,50223
kcockshoot9n,5939,3026,true,1,India,30,119,5,59480
nroscow9o,1948,6291,true,7,India,66,283,35,80276
rendricci9p,9569,7635,true,15,USA,2,196,114,42411
lcaplan9q,6927,7723,false,13,USA,79,942,254,71316
gblaxley9r,4322,2221,false,1,USA,84,146,49,38900
atoomer9s,7320,8352,false,12,India,50,120,31,147
osteers9t,7424,4833,true,1,USA,21,949,72,55643
jvispo9u,2179,1181,true,17,Canada,76,904,499,24354
ptyrone9v,1155,6164,true,11,India,44,72,215,70195
gmacknight9w,2751,8644,true,11,India,82,251,228,85343
bhaggarty9x,1956,237,true,3,India,63,915,45,36986
chassall9y,3965,1106,true,12,Canada,88,135,121,81205
lshepherdson9z,6314,6313,false,1,India,10,873,171,50564
alidgatea0,1453,9823,false,15,India,98,188,350,73279
ejaggarda1,6897,830,true,9,Canada,28,320,213,72583
tjuliffa2,9274,6448,false,9,India,70,30,412,81398
nzmitrichenkoa3,9643,9915,false,6,India,25,525,370,75884
aellacombea4,2494,2622,false,7,India,71,1000,487,7052
pschultheissa5,1028,9936,true,4,Canada,34,808,365,30795
clynocka6,6877,2849,true,19,India,42,284,481,75426
fbaddoea7,5031,9214,false,15,Canada,87,366,68,27696
vshalla8,3963,4521,true,11,Canada,83,659,283,70847
atidburya9,3252,5736,false,4,India,33,503,99,62441
nbateyaa,3811,7359,false,7,Canada,45,91,138,32907
rhowsonab,1855,2733,false,5,USA,5,799,123,69609
abywatersac,8922,7564,false,7,India,97,895,130,45284
mpykermanad,2294,691,true,17,Canada,28,843,176,27761
ymanuelliae,9554,5674,false,11,Canada,1,939,279,82014
mpruceaf,8073,1907,false,8,Canada,29,265,251,61682
moffenerag,2724,5314,true,9,India,31,789,380,96069
kchidlowah,4584,2546,false,11,India,75,104,409,75721
agaultai,4061,5325,true,10,Canada,79,837,266,15085
bciccottoaj,9516,9005,true,17,Canada,26,49,85,52095
cferrerak,9598,6174,false,3,Canada,48,539,326,26097
sdebruinal,4254,539,false,6,USA,93,476,409,21314
jlympanyam,8972,4597,false,12,Canada,31,110,294,65918
mluckettan,8252,8462,true,19,USA,17,353,304,57287
khawtonao,6534,4288,true,18,Canada,42,112,117,1840
cgiorgeschiap,9532,5000,false,6,Canada,86,682,128,47323
emathisaq,2341,8818,true,14,USA,52,776,200,21757
cswinleyar,2528,2327,false,12,USA,53,421,305,1346
rkeelinas,8648,2639,false,19,India,35,192,107,81046
wantoniuttiat,599,4354,true,2,USA,21,447,97,92306
ndowderswellau,5563,6103,true,4,Canada,85,525,294,23734
cfarryanav,1094,1322,true,3,USA,15,643,133,77112
sscourgeaw,6981,360,false,19,India,41,752,419,43191
nlambdinax,5401,9693,false,13,India,50,349,403,22006
edrageay,2707,2280,true,2,Canada,39,94,241,49995
rjancicaz,1739,6495,true,11,India,68,278,136,15140
gnightingaleb0,7104,5304,false,9,Canada,10,224,49,86408
mjemisonb1,5333,9779,false,9,Canada,99,568,376,29891
dpleaseb2,7612,6263,false,16,India,6,67,273,64227
bcollacombeb3,3453,131,true,8,Canada,41,9,118,73896
gpolinob4,4444,509,true,9,Canada,12,230,449,13452
ustenhouseb5,4206,6806,true,18,USA,90,341,395,53997
gitzcovichb6,3362,7237,false,18,India,28,817,196,54447
lspradberyb7,6991,8501,true,10,Canada,83,921,342,28009
cbellb8,8384,5565,false,2,USA,56,640,220,6868
bwilbrahamb9,7434,4309,true,19,Canada,100,661,405,79506
shearneba,8629,3492,false,2,Canada,24,478,104,75522
tbielfeldbb,6339,4230,true,19,India,63,221,220,63090
rbachnicbc,8577,2239,false,19,USA,5,346,376,69026
esparrowebd,3116,8899,false,5,USA,82,847,118,52590
bkerblerbe,6571,4724,true,11,USA,52,622,239,32719
groundtreebf,1941,2066,true,12,Canada,88,948,374,79671
cneamebg,35,2831,false,4,Canada,12,65,38,29719
pmccardlebh,2733,6510,false,6,Canada,26,145,201,58627
emattissonbi,3009,6289,false,9,India,78,676,410,34131
slehuquetbj,7233,3031,false,11,Canada,52,836,70,39311
blosebybk,3992,3524,false,7,India,54,252,472,50901
ddjurkovicbl,5461,9694,false,4,Canada,90,916,17,33426
obartoccibm,5603,2539,false,13,Canada,61,807,199,13400
rhuntressbn,9926,7619,true,7,Canada,2,486,83,32434
mleleubo,8283,4721,true,2,USA,48,755,375,89815
gcastellinobp,8633,9578,true,19,Canada,3,34,434,43233
nreadebq,6854,4707,false,2,Canada,88,547,498,61337
njackbr,402,7644,true,2,India,96,918,138,81419
sjenkingbs,5661,7680,true,20,India,62,665,485,76296
nvaladezbt,2663,6999,false,15,Canada,57,833,198,60669
bbertlinbu,3895,8115,true,18,USA,61,452,104,62941
cduesterbv,5148,972,true,10,USA,32,108,185,20223
hmatignonbw,4983,3948,false,6,USA,93,590,24,12439
ppetyaninbx,6152,3391,true,5,Canada,38,994,348,47380
ocrameby,5005,6501,true,5,Canada,43,357,372,41415
cwinspearebz,1434,9100,false,18,Canada,73,897,362,6076
lbeakec0,7941,2236,true,12,India,81,328,135,22969
tfeatherstonec1,427,4575,false,3,India,73,415,364,51683
mmcpaikec2,7394,8602,true,15,India,17,925,93,93177
cmckevittc3,2556,7762,true,9,India,38,960,475,66812
ccregeenc4,3153,8471,false,10,Canada,2,731,128,37957
dhouseagoc5,2149,986,true,2,India,36,938,24,87573
tblabeyc6,6105,5251,true,5,Canada,0,343,403,77702
escheuc7,3579,4415,false,18,USA,8,662,481,16397
igorkec8,2365,5309,true,15,India,85,210,451,82576
pdeeblec9,2301,8560,false,13,Canada,36,227,188,76035
wbalbeckca,1456,7590,true,3,USA,63,552,497,9512
ajouanetcb,1387,5416,true,4,USA,2,375,52,73792
imcshirriecc,4415,7752,false,11,Canada,80,390,424,80734
ovollethcd,9642,6517,true,8,India,11,498,145,35950
cloxtonce,5270,4976,true,14,India,70,329,245,38162
gdevaancf,1254,1481,true,2,USA,91,662,317,30950
ssibborncg,7063,3279,true,10,India,57,531,396,19514
iblatchfordch,4970,2026,true,2,USA,64,238,468,4953
mcadremanci,67,7991,true,2,USA,53,68,426,73236
cbernthcj,6338,8132,false,2,USA,52,678,131,68037
pwidmoorck,791,9294,false,20,Canada,8,730,229,42911
desherwoodcl,6784,646,true,20,Canada,45,908,84,56378
rstentcm,7232,4984,false,5,USA,78,663,54,8394
wbevillecn,3421,9652,false,14,India,74,312,16,13184
sbetancourtco,6511,7270,false,20,India,97,509,422,57583
gmontrosecp,7042,8698,false,3,India,73,121,417,12551
bcrimpcq,5964,3830,false,5,India,6,717,80,77859
bchidzoycr,3420,560,true,18,Canada,97,410,327,51569
glebancs,9597,8420,true,7,Canada,88,175,380,88329
clownect,3220,2024,true,15,India,40,274,199,1943
mglassoncu,3970,4027,false,17,India,73,676,277,20205
smcmackincv,5000,2532,true,7,Canada,96,116,245,89518
pfearoncw,5789,9352,true,2,USA,61,530,377,8279
pdassindalecx,8198,3734,true,14,Canada,38,117,208,38168
tomannioncy,9096,92,false,15,USA,63,580,302,75830
apalliscz,5930,9155,false,9,Canada,13,191,399,58246
flitchfieldd0,5325,8569,false,13,Canada,91,625,277,20789
hhussetd1,1813,3401,false,11,Canada,44,997,281,13899
gstanbrooked2,4406,3687,false,16,India,44,142,351,32147
gneillansd3,2316,2649,true,15,USA,92,356,243,75233
gdouched4,3930,1512,false,2,India,33,433,204,78695
hwhettletond5,9756,3174,false,10,Canada,10,183,23,40336
cboutcherd6,1875,9589,true,13,USA,95,290,421,10469
jruttyd7,2007,8936,false,5,Canada,11,89,500,82692
dcockind8,8504,5653,true,6,Canada,100,12,41,27082
lofihilyd9,7000,7047,false,7,Canada,50,327,260,42593
kwarrenerda,9831,6458,true,16,USA,57,478,467,34922
